Timestamp,Keypoint,X,Y,Confidence
2025-09-23 11:46:05,left_shoulder,527,179,0.79873633
2025-09-23 11:46:05,left_elbow,578,359,0.8151207
2025-09-23 11:46:05,left_wrist,535,482,0.50791436
2025-09-23 11:46:05,left_hip,447,472,0.52020264
2025-09-23 11:46:16,left_shoulder,423,93,0.85198545
2025-09-23 11:46:16,left_elbow,464,234,0.61441255
2025-09-23 11:46:16,left_wrist,530,374,0.7413912
2025-09-23 11:46:16,left_hip,369,339,0.51201046
2025-09-23 11:46:18,left_shoulder,241,144,0.8028324
2025-09-23 11:46:18,left_elbow,356,261,0.8069285
2025-09-23 11:46:18,left_wrist,540,327,0.67994994
2025-09-23 11:46:18,left_hip,171,406,0.57345176
2025-09-23 11:46:21,left_shoulder,369,148,0.8069285
2025-09-23 11:46:21,left_elbow,471,269,0.8192168
2025-09-23 11:46:21,left_wrist,615,341,0.5775478
2025-09-23 11:46:21,left_hip,337,406,0.5611635
2025-09-23 11:46:23,left_shoulder,583,70,0.8437933
2025-09-23 11:46:23,left_elbow,639,169,0.5570674
2025-09-23 11:46:23,left_wrist,639,185,0.5652596
2025-09-23 11:46:23,left_hip,544,304,0.5488752
2025-09-23 11:46:25,left_shoulder,541,70,0.8396972
2025-09-23 11:46:25,left_elbow,593,148,0.6389891
2025-09-23 11:46:25,left_wrist,637,185,0.69633424
2025-09-23 11:46:25,left_hip,512,339,0.50791436
